"Date","Pioggia (mm)","","Temp. aria (�C)","","Umid.relat. aria (%)","","Dir. Vento (�)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
00:00:00 01/11/2012,        13.6,      1,         7.4,      1,        97.0,      1,         347,      1,         0.9,      1,       969.6,      1,      4104.9,      1
00:00:00 02/11/2012,         0.2,      1,         8.6,      1,        93.2,      1,         345,      1,         0.9,      1,       980.1,      1,      9217.2,      1
00:00:00 03/11/2012,         0.0,      1,         8.2,      1,        95.6,      1,         323,      1,         0.4,      1,       987.5,      1,      3084.2,      1
00:00:00 04/11/2012,        30.0,    140,         9.6,      1,       100.0,      1,         342,      1,         1.1,      1,       982.4,      1,      1217.4,      1
00:00:00 05/11/2012,        20.8,    140,        10.2,      1,        88.8,      1,         342,      1,         2.5,      1,       974.7,      1,      4937.9,      1
00:00:00 06/11/2012,         0.0,      1,         7.2,      1,        77.9,      1,         341,      1,         1.7,      1,       987.9,      1,      9700.5,      1
00:00:00 07/11/2012,         0.0,      1,         4.7,      1,        76.9,      1,         340,      1,         1.2,      1,       999.2,      1,     10243.2,      1
00:00:00 08/11/2012,         0.0,      1,         4.7,      1,        86.5,      1,         334,      1,         0.7,      1,       998.5,      1,      8597.8,      1
00:00:00 09/11/2012,         0.0,      1,         6.1,      1,        86.3,    140,         331,      1,         0.8,      1,       993.2,      1,      9309.4,      1
00:00:00 10/11/2012,        21.2,      1,         7.4,      1,       100.0,    140,         346,      1,         1.3,      1,       990.3,      1,      1061.7,      1
00:00:00 11/11/2012,        65.4,      1,         8.6,      1,       100.0,    140,         327,      1,         2.2,      1,       987.0,      1,       942.7,      1
00:00:00 12/11/2012,         0.2,      1,         9.1,      1,        95.4,    140,         353,      1,         1.2,      1,       994.9,      1,      3738.3,      1
00:00:00 13/11/2012,         0.0,      1,         9.6,      1,        90.4,      1,         337,      1,         1.3,      1,      1000.8,      1,      8314.1,      1
00:00:00 14/11/2012,         0.0,      1,         9.4,      1,        82.7,      1,         346,      1,         1.1,      1,      1000.4,      1,      9179.2,      1
00:00:00 15/11/2012,         0.0,      1,         4.4,      1,        89.1,      1,         345,      1,         0.8,      1,       996.8,      1,      9461.8,      1
00:00:00 16/11/2012,         0.0,      1,         2.5,      1,        89.0,      1,         338,      1,         0.6,      1,       995.7,      1,      9237.4,      1
00:00:00 17/11/2012,         0.0,      1,         1.6,      1,        88.8,      1,         339,      1,         0.7,      1,       992.8,      1,      9052.6,      1
00:00:00 18/11/2012,         0.0,      1,         3.3,      1,        83.8,      1,         333,      1,         1.1,      1,       990.5,      1,      7494.4,      1
00:00:00 19/11/2012,         0.0,      1,         6.3,      1,        75.6,      1,         348,      1,         1.3,      1,       990.6,      1,      4507.2,      1
00:00:00 20/11/2012,         0.0,      1,         7.3,      1,        80.9,      1,           0,      1,         1.0,      1,       991.4,      1,      8360.7,      1
00:00:00 21/11/2012,         0.0,      1,         6.3,      1,        85.8,      1,         341,      1,         1.2,      1,       993.9,      1,      7965.6,      1
00:00:00 22/11/2012,         0.0,      1,         6.2,      1,        85.0,      1,         350,      1,         1.3,      1,       996.8,      1,      1916.8,      1
00:00:00 23/11/2012,         0.0,      1,         7.8,      1,        89.6,      1,         334,      1,         0.6,      1,       996.4,      1,      6826.8,      1
00:00:00 24/11/2012,         0.0,      1,         6.7,      1,        89.9,      1,         325,      1,         0.6,      1,       997.1,      1,      7233.0,      1
00:00:00 25/11/2012,         0.0,      1,         5.9,      1,        89.2,      1,         346,      1,         0.7,      1,       995.0,      1,      5356.0,      1
00:00:00 26/11/2012,         0.0,      1,         7.3,      1,        95.5,    140,         337,      1,         0.5,      1,       990.8,      1,       907.9,      1
00:00:00 27/11/2012,        14.8,    140,         9.2,      1,       100.0,    140,         352,      1,         0.8,      1,       982.2,      1,      1061.7,      1
00:00:00 28/11/2012,        61.4,    140,         8.3,      1,        99.9,    140,         331,      1,         2.0,      1,       970.8,      1,       236.5,      1
00:00:00 29/11/2012,         9.4,      1,         7.4,      1,        85.2,    140,         338,      1,         1.8,      1,       966.2,      1,      2596.8,      1
00:00:00 30/11/2012,         0.0,      1,         7.7,      1,        49.7,      1,         329,      1,         2.2,      1,       974.4,      1,      3447.4,      1
00:00:00 01/12/2012,         0.0,      1,         6.2,      1,        66.0,      1,         353,      1,         1.1,      1,       983.3,      1,      3590.8,      1
00:00:00 02/12/2012,         0.8,      1,         4.9,      1,        76.8,      1,         336,      1,         0.9,      1,       981.7,      1,      4161.1,      1
00:00:00 03/12/2012,         0.0,      1,         2.1,      1,        53.9,      1,         350,      1,         1.2,      1,       987.1,      1,      7956.8,      1
00:00:00 04/12/2012,         0.0,      1,        -0.2,      1,        80.4,      1,         353,      1,         1.0,      1,       978.8,      1,      1988.3,      1
00:00:00 05/12/2012,         0.0,      1,        -0.8,      1,        86.3,      1,         352,      1,         0.8,      1,       977.1,      1,      3725.3,      1
00:00:00 06/12/2012,         0.0,      1,         0.0,      1,        66.0,      1,         334,      1,         1.5,      1,       984.3,      1,      7433.4,      1
00:00:00 07/12/2012,         0.4,      1,        -0.7,      1,        62.0,      1,         343,      1,         2.3,      1,       985.1,      1,      3557.6,      1
00:00:00 08/12/2012,         0.0,      1,         2.5,      1,        46.7,      1,         341,      1,         3.4,      1,       981.8,      1,      1719.1,      1
00:00:00 09/12/2012,         0.0,      1,        -0.4,      1,        46.4,      1,         335,      1,         1.1,      1,       992.0,      1,      7451.4,      1
00:00:00 10/12/2012,         0.0,      1,        -2.1,      1,        72.6,      1,         343,      1,         0.9,      1,       983.2,      1,      5035.7,      1
00:00:00 11/12/2012,         0.0,      1,         0.5,      1,        53.5,      1,         348,      1,         2.0,      1,       988.2,      1,      6540.1,      1
00:00:00 12/12/2012,         0.0,      1,        -1.6,      1,        48.2,      1,         346,      1,         1.8,      1,       994.8,      1,      7272.9,      1
00:00:00 13/12/2012,         0.0,    140,        -2.8,      1,        54.8,      1,         344,      1,         1.5,      1,       996.5,      1,      5503.3,      1
00:00:00 14/12/2012,         0.0,    140,        -1.5,      1,        90.6,    140,         344,      1,         1.5,      1,       993.8,      1,       566.5,      1
00:00:00 15/12/2012,         8.6,    140,         0.1,      1,       100.0,    140,         351,      1,         1.6,      1,       987.0,      1,       431.3,      1
00:00:00 16/12/2012,         5.0,      1,        -0.6,      1,        99.4,    140,         336,      1,         0.6,      1,       988.3,      1,      3963.5,      1
00:00:00 17/12/2012,         7.4,      1,         0.4,      1,        96.2,    140,         347,      1,         0.8,      1,       985.2,      1,      3941.7,      1
00:00:00 18/12/2012,         0.0,      1,         0.8,      1,        89.2,      1,         341,      1,         1.3,      1,       986.6,      1,      5564.5,      1
00:00:00 19/12/2012,         0.0,      1,         0.5,      1,        76.4,      1,           9,      1,         1.4,      1,       994.6,      1,      7157.6,      1
00:00:00 20/12/2012,         0.0,      1,        -1.2,      1,        76.2,      1,         347,      1,         0.9,      1,       994.3,      1,      4729.9,      1
00:00:00 21/12/2012,         0.0,      1,        -0.8,      1,        90.4,      1,         351,      1,         0.6,      1,       987.8,      1,      2682.1,      1
00:00:00 22/12/2012,         0.0,      1,        -1.4,      1,        87.4,      1,         339,      1,         0.5,      1,       993.3,      1,      5717.9,      1
00:00:00 23/12/2012,         0.0,      1,        -0.9,      1,        92.4,      1,         353,      1,         0.5,      1,       992.6,      1,      3929.1,      1
00:00:00 24/12/2012,         0.0,      1,         0.9,      1,        89.4,      1,          24,      1,         0.6,      1,       995.5,      1,      5369.6,      1
00:00:00 25/12/2012,         0.0,      1,         2.2,      1,        96.1,    140,         334,      1,         0.5,      1,       993.7,      1,       592.1,      1
00:00:00 26/12/2012,         2.0,      1,         2.6,      1,        99.9,    140,         348,      1,         0.8,      1,       989.8,      1,       903.8,      1
00:00:00 27/12/2012,         0.0,      1,         0.9,      1,        94.6,    140,         321,      1,         0.8,      1,       991.8,      1,      5618.1,      1
00:00:00 28/12/2012,         0.0,      1,         3.0,      1,        79.3,      1,         339,      1,         2.0,      1,       996.5,      1,      6990.3,      1
00:00:00 29/12/2012,         0.0,      1,        -0.1,      1,        81.6,      1,         332,      1,         0.8,      1,      1002.0,      1,      5086.4,      1
00:00:00 30/12/2012,         0.0,      1,        -0.5,      1,        84.8,      1,         335,      1,         0.7,      1,       997.9,      1,      6943.7,      1
00:00:00 31/12/2012,         0.0,      1,         0.1,      1,        81.2,      1,         334,      1,         1.0,      1,       999.6,      1,      7056.9,      1
00:00:00 01/01/2013,         0.0,      1,        -0.6,      1,        84.1,      1,         333,      1,         0.6,      1,       991.8,      1,      6641.7,      1
00:00:00 02/01/2013,         0.4,      1,         1.9,      1,        89.8,      1,         347,      1,         0.8,      1,       996.3,      1,      2887.1,      1
00:00:00 03/01/2013,         0.0,      1,         1.7,      1,        77.5,      1,         346,      1,         1.0,      1,      1007.5,      1,      6776.5,      1
00:00:00 04/01/2013,         0.0,      1,         1.3,      1,        85.0,      1,         328,      1,         0.7,      1,      1003.1,      1,      6398.4,      1
00:00:00 05/01/2013,         0.0,      1,         7.0,      1,        67.3,      1,         336,      1,         1.4,      1,       995.2,      1,      7209.5,      1
00:00:00 06/01/2013,         0.0,      1,         5.9,      1,        69.0,      1,         323,      1,         1.0,      1,       993.8,      1,      6551.6,      1
00:00:00 07/01/2013,         0.0,      1,         5.1,      1,        66.8,      1,         302,      1,         0.6,      1,       994.3,      1,      7393.1,      1
00:00:00 08/01/2013,         0.0,      1,         2.4,      1,        85.9,      1,         227,      1,         0.7,      1,       998.1,      1,      5551.7,      1
00:00:00 09/01/2013,         0.0,      1,         4.4,      1,        78.5,      1,         336,      1,         0.9,      1,       994.9,      1,      5833.4,      1
00:00:00 10/01/2013,         0.0,      1,         3.7,      1,        84.1,      1,         345,      1,         0.7,      1,       986.0,      1,      3318.7,      1
00:00:00 11/01/2013,         0.0,      1,         0.9,      1,        90.0,      1,         352,      1,         0.8,      1,       982.7,      1,      7028.8,      1
00:00:00 12/01/2013,         0.0,      1,         0.8,      1,        79.0,      1,          22,      1,         0.8,      1,       988.4,      1,      7681.7,      1
00:00:00 13/01/2013,         0.0,      1,         2.3,      1,        77.3,      1,         344,      1,         1.2,      1,       985.6,      1,      3606.4,      1
00:00:00 14/01/2013,         0.4,    140,         3.5,      1,        84.0,      1,         348,      1,         1.1,      1,       981.3,      1,      2723.7,      1
00:00:00 15/01/2013,         0.2,    140,         2.6,      1,        98.0,      1,         329,      1,         1.3,      1,       979.5,      1,      2428.5,      1
00:00:00 16/01/2013,         0.2,      1,         2.8,      1,        73.6,      1,         342,      1,         3.5,      1,       972.7,      1,      1442.5,      1
00:00:00 17/01/2013,         0.0,      1,         4.6,      1,        30.5,      1,           2,      1,         5.4,      1,       973.5,      1,      4074.7,      1
00:00:00 18/01/2013,         0.0,      1,         2.5,      1,        43.0,      1,         336,      1,         2.5,      1,       975.4,      1,      6610.7,      1
00:00:00 19/01/2013,         1.0,      1,        -0.1,      1,        75.3,    140,         356,      1,         1.0,      1,       974.8,      1,      4164.8,      1
00:00:00 20/01/2013,         8.4,      1,         0.6,      1,       100.0,    140,         342,      1,         1.8,      1,       973.4,      1,       554.1,      1
00:00:00 21/01/2013,         2.8,      1,         2.2,      1,        98.2,    140,         348,      1,         0.7,      1,       969.2,      1,      3510.5,      1
00:00:00 22/01/2013,         0.4,      1,         3.8,      1,        83.1,      1,         345,      1,         1.2,      1,       974.4,      1,      3310.7,      1
00:00:00 23/01/2013,         0.0,      1,         1.7,      1,        78.8,      1,         348,      1,         1.3,      1,       981.2,      1,      8068.5,      1
00:00:00 24/01/2013,         0.0,      1,         2.6,      1,        61.2,      1,         346,      1,         2.2,      1,       976.5,      1,      4095.6,      1
00:00:00 25/01/2013,         0.0,      1,         2.8,      1,        53.1,      1,         329,      1,         2.6,      1,       980.9,      1,      9616.6,      1
00:00:00 26/01/2013,         0.0,      1,        -0.7,      1,        62.7,      1,         347,      1,         1.4,      1,       985.3,      1,      9664.4,      1
00:00:00 27/01/2013,         0.0,      1,        -0.5,      1,        67.8,      1,         341,      1,         0.9,      1,       987.7,      1,      8165.8,      1
00:00:00 28/01/2013,         0.0,      1,         1.9,      1,        70.9,      1,         341,      1,         0.6,      1,       988.9,      1,      2224.9,      1
00:00:00 29/01/2013,         0.0,      1,         0.7,      1,        77.9,      1,         352,      1,         0.8,      1,       996.1,      1,      8731.8,      1
00:00:00 30/01/2013,         0.0,      1,         1.8,      1,        79.8,      1,         207,      1,         1.1,      1,       992.9,      1,      7806.5,      1
00:00:00 31/01/2013,         0.0,      1,         3.1,      1,        82.2,      1,         210,      1,         1.1,      1,       992.8,      1,     10128.1,      1
00:00:00 01/02/2013,         0.0,      1,         3.2,      1,        80.9,      1,         330,      1,         1.3,      1,       983.5,      1,      8073.0,      1
00:00:00 02/02/2013,         5.8,      1,         5.6,      1,        67.2,      1,         354,      1,         3.6,      1,       967.6,      1,      1444.8,      1
00:00:00 03/02/2013,         0.0,      1,         7.1,      1,        25.4,      1,           8,      1,         4.4,      1,       983.6,      1,     11206.4,      1
00:00:00 04/02/2013,         0.0,      1,         3.1,      1,        55.9,      1,         323,      1,         0.9,      1,       989.4,      1,     10715.4,      1
00:00:00 05/02/2013,         0.0,      1,         1.8,      1,        73.7,      1,          27,      1,         0.8,      1,       983.5,      1,      6499.2,      1
00:00:00 06/02/2013,         2.8,      1,         3.6,      1,        73.1,      1,         329,      1,         1.8,      1,       971.1,      1,     10040.9,      1
00:00:00 07/02/2013,         0.0,      1,         3.2,      1,        53.7,      1,         336,      1,         2.2,      1,       977.4,      1,      9012.7,      1
00:00:00 08/02/2013,         0.0,      1,         2.7,      1,        34.4,      1,         335,      1,         2.8,      1,       982.5,      1,     11619.5,      1
00:00:00 09/02/2013,         0.0,      1,         1.4,      1,        35.8,      1,         343,      1,         2.3,      1,       985.9,      1,      9434.2,      1
00:00:00 10/02/2013,         0.0,      1,        -0.4,      1,        35.9,      1,         325,      1,         2.5,      1,       986.8,      1,     11922.1,      1
00:00:00 11/02/2013,         3.0,      1,        -1.7,      1,        65.8,      1,         334,      1,         2.3,      1,       981.2,      1,      1743.6,      1
00:00:00 12/02/2013,         2.0,      1,         0.4,      1,        97.4,      1,         320,      1,         1.4,      1,       977.3,      1,      3589.8,      1
00:00:00 13/02/2013,         0.0,      1,         3.4,      1,        58.0,      1,         325,      1,         3.3,      1,       985.2,      1,     12711.8,      1
00:00:00 14/02/2013,         0.0,      1,         3.3,      1,        48.7,      1,         327,      1,         2.2,      1,       990.8,      1,     12311.9,      1
00:00:00 15/02/2013,         0.0,      1,         2.3,      1,        70.1,      1,         323,      1,         0.8,      1,       989.3,      1,      9959.7,      1
00:00:00 16/02/2013,         0.0,      1,         3.6,      1,        69.8,      1,         280,      1,         1.0,      1,       993.3,      1,      9400.5,      1
00:00:00 17/02/2013,         0.0,      1,         4.1,      1,        68.6,      1,         342,      1,         1.2,      1,       992.5,      1,     10850.9,      1
00:00:00 18/02/2013,         0.4,      1,         4.2,      1,        70.4,      1,         333,      1,         1.7,      1,       990.8,      1,     13510.4,      1
00:00:00 19/02/2013,         0.0,      1,         2.5,      1,        65.2,      1,         347,      1,         1.3,      1,       987.9,      1,     13128.0,      1
00:00:00 20/02/2013,         0.0,      1,         3.2,      1,        71.8,      1,         310,      1,         1.9,      1,       985.6,      1,     11927.2,      1
00:00:00 21/02/2013,         1.6,      1,         2.7,      1,        83.2,      1,         159,      1,         1.3,      1,       983.7,      1,      3825.4,      1
00:00:00 22/02/2013,         0.0,      1,         1.9,      1,        83.9,      1,         226,      1,         0.9,      1,       977.4,      1,      8617.3,      1
00:00:00 23/02/2013,         0.0,      1,         1.5,      1,        71.8,      1,         341,      1,         1.6,      1,       976.0,      1,      6945.7,      1
00:00:00 24/02/2013,         0.8,      1,         1.7,      1,        92.3,      1,         329,      1,         2.4,      1,       978.3,      1,      3502.7,      1
00:00:00 25/02/2013,         0.0,      1,         2.2,      1,        89.7,      1,         350,      1,         1.2,      1,       990.1,      1,      5653.6,      1
00:00:00 26/02/2013,         0.0,      1,         4.1,      1,        61.0,      1,         338,      1,         1.7,      1,       994.4,      1,     14930.1,      1
00:00:00 27/02/2013,         0.0,      1,         5.9,      1,        72.4,      1,         166,      1,         1.2,      1,       995.5,      1,      7262.5,      1
00:00:00 28/02/2013,         0.0,      1,         6.8,      1,        77.0,      1,          76,      1,         1.2,      1,       996.4,      1,     10875.8,      1
00:00:00 01/03/2013,         0.0,      1,         6.0,      1,        77.6,      1,         327,      1,         1.7,      1,       992.0,      1,     15445.8,      1
00:00:00 02/03/2013,         0.0,      1,         6.0,      1,        72.0,      1,         315,      1,         2.1,      1,       991.3,      1,     16061.8,      1
00:00:00 03/03/2013,         0.0,      1,         6.6,      1,        64.7,      1,         343,      1,         1.5,      1,       990.9,      1,     16655.3,      1
00:00:00 04/03/2013,         0.0,      1,         6.9,      1,        56.8,      1,         335,      1,         1.7,      1,       993.8,      1,     16705.3,      1
00:00:00 05/03/2013,         0.0,      1,         6.6,      1,        55.6,      1,         355,      1,         1.1,      1,       994.7,      1,     11420.9,      1
00:00:00 06/03/2013,         0.4,      1,         7.0,      1,        76.2,      1,         295,      1,         0.8,      1,       987.1,      1,      3521.8,      1
00:00:00 07/03/2013,         1.4,      1,         8.3,      1,        90.0,      1,         336,      1,         0.9,      1,       979.8,      1,      6050.9,      1
00:00:00 08/03/2013,         5.8,      1,        10.1,      1,        93.2,      1,         288,      1,         1.1,      1,       977.6,      1,      6336.1,      1
00:00:00 09/03/2013,         7.6,      1,        10.1,      1,        98.0,      1,         349,      1,         0.5,      1,       975.9,      1,      3388.7,      1
00:00:00 10/03/2013,         3.2,      1,        11.0,      1,        78.5,      1,         307,      1,         1.5,      1,       972.9,      1,     12275.9,      1
00:00:00 11/03/2013,         0.0,      1,        10.7,      1,        69.0,      1,         306,      1,         2.1,      1,       971.9,      1,     15277.2,      1
00:00:00 12/03/2013,         0.2,      1,         9.9,      1,        72.2,      1,         203,      1,         1.6,      1,       970.5,      1,     12073.7,      1
00:00:00 13/03/2013,         0.0,      1,         9.0,      1,        73.2,      1,         160,      1,         1.3,      1,       968.2,      1,      6484.6,      1
00:00:00 14/03/2013,         0.8,      1,         7.3,      1,        31.5,      1,          14,      1,         6.2,      1,       968.7,      1,     16110.9,      1
00:00:00 15/03/2013,         0.0,      1,         4.7,      1,        18.8,      1,          14,      1,         5.4,      1,       980.1,      1,     19815.6,      1
00:00:00 16/03/2013,         0.0,      1,         4.0,      1,        32.9,      1,         304,      1,         2.6,      1,       990.7,      1,     20137.5,      1
00:00:00 17/03/2013,         4.6,      1,         4.4,      1,        68.1,    140,         188,      1,         1.4,      1,       987.4,      1,      5633.7,      1
00:00:00 18/03/2013,        12.2,      1,         0.8,      1,       100.0,    140,         348,      1,         0.8,      1,       970.9,      1,       792.5,      1
00:00:00 19/03/2013,        30.8,      1,         4.0,      1,        84.7,    140,         351,      1,         0.8,      1,       974.2,      1,     20130.5,      1
00:00:00 20/03/2013,         4.8,      1,         4.9,      1,        82.2,      1,          15,      1,         1.0,      1,       980.8,      1,     11930.5,      1
00:00:00 21/03/2013,         0.0,      1,         9.3,      1,        49.8,      1,         334,      1,         2.2,      1,       983.8,      1,     21373.8,      1
00:00:00 22/03/2013,         0.0,      1,         8.2,      1,        44.7,      1,         336,      1,         1.9,      1,       985.3,      1,     21091.7,      1
00:00:00 23/03/2013,         0.0,      1,         8.1,      1,        62.8,      1,         323,      1,         1.7,      1,       984.7,      1,      8384.4,      1
00:00:00 24/03/2013,         9.0,      1,         7.9,      1,        86.7,      1,         347,      1,         1.0,      1,       981.5,      1,      3313.5,      1
00:00:00 25/03/2013,         8.4,      1,         6.6,      1,        85.3,      1,         305,      1,         2.7,      1,       974.7,      1,      9154.0,      1
00:00:00 26/03/2013,         6.0,      1,         3.9,      1,        85.7,      1,         218,      1,         1.9,      1,       975.1,      1,      4375.2,      1
00:00:00 27/03/2013,         0.2,      1,         5.4,      1,        76.1,      1,         239,      1,         2.2,      1,       980.1,      1,      8371.5,      1
00:00:00 28/03/2013,        12.2,      1,         5.5,      1,        79.9,      1,         206,      1,         0.9,      1,       985.0,      1,      5826.2,      1
00:00:00 29/03/2013,         1.0,      1,         5.7,      1,        85.8,      1,           1,      1,         1.0,      1,       979.5,      1,      6545.6,      1
00:00:00 30/03/2013,        19.2,      1,         7.5,      1,        95.8,      1,         342,      1,         1.0,      1,       974.1,      1,      3088.2,      1
00:00:00 31/03/2013,         0.4,      1,         9.7,      1,        66.9,      1,         313,      1,         2.7,      1,       971.0,      1,     11710.1,      1
00:00:00 01/04/2013,         0.0,      1,         7.1,      1,        64.5,      1,         307,      1,         2.0,      1,       978.1,      1,     14902.4,      1
00:00:00 02/04/2013,         0.0,      1,        10.3,      1,        64.3,      1,         306,      1,         3.3,      1,       974.3,      1,     20089.8,      1
00:00:00 03/04/2013,         0.0,      1,        11.2,      1,        61.9,      1,         292,      1,         3.5,      1,       977.1,      1,     17258.1,      1
00:00:00 04/04/2013,         1.6,      1,        10.4,      1,        66.2,      1,         200,      1,         2.0,      1,       980.1,      1,     10606.6,      1
00:00:00 05/04/2013,         9.8,      1,         9.2,      1,        88.9,      1,         194,      1,         1.3,      1,       975.3,      1,      6619.7,      1
00:00:00 06/04/2013,         0.6,      1,        11.1,      1,        79.5,      1,         200,      1,         2.0,      1,       982.2,      1,     13565.5,      1
00:00:00 07/04/2013,         0.4,      1,        10.9,      1,        71.0,      1,         283,      1,         2.1,      1,       984.1,      1,     11305.0,      1
00:00:00 08/04/2013,         2.4,      1,         7.8,      1,        74.7,      1,         217,      1,         1.8,      1,       982.4,      1,      4698.8,      1
00:00:00 09/04/2013,         0.8,      1,         8.9,      1,        76.4,      1,         209,      1,         3.0,      1,       981.2,      1,     13753.5,      1
00:00:00 10/04/2013,         0.0,      1,        11.8,      1,        62.6,      1,         286,      1,         2.9,      1,       983.5,      1,     23392.7,      1
00:00:00 11/04/2013,         1.0,      1,        11.0,      1,        72.5,      1,         189,      1,         1.2,      1,       986.6,      1,      3866.3,      1
00:00:00 12/04/2013,         2.8,      1,        12.7,      1,        84.8,      1,         276,      1,         1.7,      1,       981.8,      1,      7034.6,      1
00:00:00 13/04/2013,         0.0,      1,        14.6,      1,        56.2,      1,         342,      1,         2.8,      1,       991.5,      1,     23406.3,      1
00:00:00 14/04/2013,         0.0,      1,        14.7,      1,        54.2,      1,         334,      1,         2.2,      1,       999.8,      1,     22230.2,      1
00:00:00 15/04/2013,         0.0,      1,        16.1,      1,        61.2,      1,         322,      1,         2.4,      1,       995.8,      1,     22599.7,      1
00:00:00 16/04/2013,         0.0,      1,        17.6,      1,        59.2,      1,         258,      1,         2.2,      1,       994.7,      1,     21644.0,      1
00:00:00 17/04/2013,         0.0,      1,        17.7,      1,        58.7,      1,         285,      1,         2.4,      1,       996.0,      1,     21866.5,      1
00:00:00 18/04/2013,         0.0,      1,        18.3,      1,        60.1,      1,         310,      1,         2.3,      1,       992.6,      1,     22859.0,      1
00:00:00 19/04/2013,         2.8,      1,        18.6,      1,        62.4,      1,         312,      1,         2.6,      1,       987.5,      1,     17205.9,      1
00:00:00 20/04/2013,        20.4,      1,        10.5,      1,        92.8,      1,         343,      1,         2.7,      1,       990.9,      1,      2028.2,      1
